id,name,price,brand,code,imag
1722,Air Jordan 1 Mid SE GS Cyber Active Fuchsia,200,Jordan,CZ9835 100,https://sneakercon-prodg.s3.amazonaws.com/pictures/Air-Jordan-1-Mid-SE-GS-Cyber-Active-Fuchsia-01-CZ9835_100.jpg
1723,Lebron 4  Black White,210,Nike,314647 011,https://sneakercon-prod.s3.amazonaws.com/pictures/nike-lebron-4-black-white-crimson-01-314647_011.jpg
1724,Air Jordan 12 Retro  Bordeaux,104,Jordan,130690 617,https://sneakercon-prod.s3.amazonaws.com/pictures/air-jordan-12-retro-bordeaux-01-130690_617.jpg
1725,Air More Uptempo Gold Supreme,540,Nike,902290 700,https://sneakercon-prod.s3.amazonaws.com/pictures/nike-air-more-uptempo-gold-supreme-01-902290_700.jpg
1726,Air Jordan 1 Retro High OG Black Gum,174,Jordan,555088 020,https://sneakercon-prod.s3.amazonaws.com/pictures/air-jordan-1-retro-high-og-black-gum-01-555088_020.jpg
1727,KD 4 Gold Medal,174,Nike,473679 702,https://sneakercon-prod.s3.amazonaws.com/pictures/nike-zoom-kd-4-gold-medal-01-473679_702.jpg
1728,Air Jordan 22  Red Metallic Silver,50,Jordan,315299 001,https://sneakercon-prod.s3.amazonaws.com/pictures/air-jordan-22-black-varsity-red-metallic-silver-01-315299_001.jpg
1729,Foamposite One Hologram,185,Nike,314996 900,https://sneakercon-prod.s3.amazonaws.com/pictures/nike-foamposite-one-hologram-01-314996_900.jpg
1730,Nike Zoom Fly SP Nathan Bell,85,Nike,AT5242 100,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-zoom-fly-sp-nathan-bell-01-AT5242_100.jpg
1731,Air Jordan 11 Retro Concord DMP 2006,330,Jordan,136046 171,https://sneakercon-prod.s3.amazonaws.com/pictures/air-jordan-11-concord-dmp-01-136046_171.jpg
1732,Air Force 1 Low Removable Swoosh Pack Black,87,Nike,CT2252 001,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-air-force-1-low-removable-swoosh-pack-black-01-CT2252_001.jpg
1733,Air Presto South Korea,100,Nike,CJ1229 100,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-air-presto-south-korea-01-cj1229_100.jpg
1734,Air Jordan 12 Retro GS University Gold,125,Jordan,153265 070,https://sneakercon-prodg.s3.amazonaws.com/pictures/air-jordan-12-retro-gs-university-gold-01-153265_070.jpg
1735,Air Max 90 Gold,125,Nike,CQ6639 700,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-air-max-90-gold-01-CQ6639_700.jpg
1736,KD 12 YouTube,147,Nike,CQ7731 900,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-KD-12-YouTube-01-CQ7731_900.jpeg
1737,Air Jordan 7 Retro GS Pantone,85,Jordan,304774 400,https://sneakercon-prod.s3.amazonaws.com/pictures/air-jordan-7-gs-pantone-01-304774_400.jpg
1738,Air Jordan 7 Retro GS Pure Platinum,85,Jordan,304774 120,https://sneakercon-prod.s3.amazonaws.com/pictures/air-jordan-7-gs-pure-platinum-01-304774_120.jpg
1739,Clog x Chinatown Market x Grateful Dead Tie Dye,83,Crocs,207113 90H,https://sneakercon-prodg.s3.amazonaws.com/pictures/Clog-x-Chinatown-Market-x-Grateful-Dead-Tie-Dye-01-207113_90H.jpg
1740,Air More Uptempo GS Navy,140,Nike,415082 401,https://sneakercon-prod.s3.amazonaws.com/pictures/nike-air-more-uptempo-navy-01-415082_401.jpg
1741,Air Jordan 11 Retro Heiress Night Maroon,200,Jordan,852625 650,https://sneakercon-prodg.s3.amazonaws.com/pictures/Air-Jordan-11-Retro-Heiress-Night-Maroon-01-852625_650.jpg
1742,Air Jordan 1 High Retro GS Valentines day,272,Jordan,881426 009,https://sneakercon-prod.s3.amazonaws.com/pictures/air-jordan-1-high-valentines-day-01-881426_009.jpg
1743,Air Force 1 '07 LV8 Black Game Royal,200,Nike,DD9784 001,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-Air-Force-1-07-LV8-Black-Game-Royal-01-DD9784_001.jpg
1744,Kobe 5 Prelude,2750,Nike,639691 700,https://sneakercon-prod.s3.amazonaws.com/pictures/nike-zoom-kobe-5-prelude-finals-mvp-01-639691_700.jpg
1745,Kobe 8 Spark,10000,Nike,555035 800,https://sneakercon-prod.s3.amazonaws.com/pictures/nike-zoom-kobe-8-spark-01-555035_800.jpg
1746,Air Jordan 11 Retro Space Jam 2000,165,Jordan,136046 041,https://sneakercon-prod.s3.amazonaws.com/pictures/air-jordan-11-space-jam-2000-01-136046_041.jpg
1747,Air Jordan 10 Retro Cool Grey,100,Jordan,310805 023,https://sneakercon-prod.s3.amazonaws.com/pictures/air-jordan-10-retro-cool-grey-01-310805_023.jpg
1748,Air Jordan 1 High Zoom CMFT Bayou Boys,190,Air Jordan,DC2133 500,https://sneakercon-prodg.s3.amazonaws.com/pictures/Jordan-Air-Jordan-1-High-Zoom-CMFT-Bayou-Boys-01-DC2133_500.jpg
1749,Air Jordan 8 Retro Aqua 2007,100,Jordan,305381 041,https://sneakercon-prod.s3.amazonaws.com/pictures/air-jordan-8-retro-aqua-2007-01-305381_041.jpg
1750,Air Jordan 8 Retro Playoff 2007,130,Jordan,305381 061 07,https://sneakercon-prodblue.s3.amazonaws.com/pictures/air-jordan-8-retro-playoff-2007-01-305381_061.jpg
1751,Air Jordan 1 Retro High OG TD Satin Snakeskin,80,Jordan,CU0450 601,https://sneakercon-prodg.s3.amazonaws.com/pictures/Air-Jordan-1-Retro-High-OG-TD-Satin-Snakeskin-1-CU0450_601.jpg
1752,Air Jordan 3 Retro SE TD Denim,130,Jordan,DB0442 100,https://sneakercon-prodg.s3.amazonaws.com/pictures/Air-Jordan-3-Retro-SE-TD-Denim-01-DB0442_100.jpg
1753,Air Max Plus USA,127,Nike,CZ9167 100,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-Air-Max-Plus-USA-01-CZ9167_100.jpg
1754,Air Kukini Spiridon Cage 2 x Stussy Black,150,Nike,CJ9918 001,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-air-kukini-spiridon-cage-2-x-stussy-black-01-cj9918_001.jpg
1755,Foamposite One Big Bang,610,Nike,AR3771 800,https://sneakercon-prodg.s3.amazonaws.com/pictures/nike-foamposite-one-big-bang-01-AR3771_800.jpg
